iter	Logloss
0	0.6113969508
1	0.5494919168
2	0.500259543
3	0.4627106391
4	0.4318379251
5	0.4056686035
6	0.3887709174
7	0.3742104484
8	0.3613766027
9	0.3489880093
10	0.3392896523
11	0.3303734423
12	0.3204623174
13	0.3107346886
14	0.3023318499
15	0.2960679029
16	0.2898027725
17	0.2834039429
18	0.2785956236
19	0.2738692386
20	0.26877245
21	0.2621681389
22	0.2584368221
23	0.2532119211
24	0.2493792653
25	0.2453865202
26	0.2416995017
27	0.238560945
28	0.2346538734
29	0.2313578089
30	0.2284320145
31	0.226058058
32	0.2234379527
33	0.2197266405
34	0.2171269494
35	0.2152009797
36	0.2130537026
37	0.2101996918
38	0.2079015138
39	0.2059752697
40	0.2044335314
41	0.2023774369
42	0.1999211572
43	0.19813826
44	0.1960799962
45	0.1938048346
46	0.1917124901
47	0.1898634202
48	0.1880169844
49	0.186527326
50	0.1848393364
51	0.1833275837
52	0.1815472296
53	0.1800230451
54	0.1783829105
55	0.176855701
56	0.1758160341
57	0.1748393057
58	0.1734174396
59	0.1713164591
60	0.1701817812
61	0.1687141369
62	0.1672925886
63	0.1661196586
64	0.1650697667
65	0.1634591136
66	0.1621299869
67	0.1612011291
68	0.1603734153
69	0.1592842734
70	0.1580460811
71	0.1567783848
72	0.1558726364
73	0.1545552483
74	0.1535975188
75	0.1526323222
76	0.1517293652
77	0.1502470385
78	0.1489215079
79	0.1478506604
80	0.1467087321
81	0.1455733182
82	0.1447129265
83	0.1433775765
84	0.1422365556
85	0.1413517644
86	0.1404889023
87	0.1394807916
88	0.1384299195
89	0.1373099815
90	0.1363725011
91	0.1353310997
92	0.1344319504
93	0.1334641498
94	0.1325563675
95	0.1313712325
96	0.1304201751
97	0.1294377921
98	0.1283442966
99	0.127287924
100	0.1262475679
101	0.1251039618
102	0.1242172553
103	0.1233163122
104	0.1225648909
105	0.1214558478
106	0.1205739431
107	0.1196187426
108	0.1188502746
109	0.118026887
110	0.1170237745
111	0.1162001829
112	0.1152008002
113	0.1142224826
114	0.1134341587
115	0.1126144805
116	0.1116080639
117	0.1105607225
118	0.1096005759
119	0.1090444134
120	0.1084279826
121	0.1074761067
122	0.106749547
123	0.1059024493
124	0.105107712
125	0.104431553
126	0.1036085997
127	0.1027994057
128	0.1020160107
129	0.1013362385
130	0.1004412216
131	0.09960559476
132	0.09886104073
133	0.09821188806
134	0.09758732169
135	0.0969220782
136	0.09615786734
137	0.09519870883
138	0.09461234257
139	0.09412645712
140	0.09327737019
141	0.09249847945
142	0.09200564352
143	0.09133303011
144	0.09073229276
145	0.09015264904
146	0.08943246701
147	0.08900981928
148	0.08835027367
149	0.08769546968
150	0.08694922444
151	0.08634705082
152	0.0857109748
153	0.08521155376
154	0.08471884071
155	0.08412924625
156	0.08376747384
157	0.08331501289
158	0.08275007713
159	0.08215542579
160	0.08148987266
161	0.08088415912
162	0.08037900954
163	0.07981986616
164	0.07921295529
165	0.07866491388
166	0.07809897296
167	0.07773480505
168	0.0772445916
169	0.07691064497
170	0.07648294926
171	0.07592382833
172	0.07546389823
173	0.07498386153
174	0.07447053524
175	0.07405812996
176	0.07374719403
177	0.07338268517
178	0.07287945827
179	0.07241757624
180	0.07196840618
181	0.0714994943
182	0.07101704769
183	0.07065868756
184	0.07046525055
185	0.07002920348
186	0.06948196774
187	0.06911541034
188	0.06865426627
189	0.06832470533
190	0.06793483853
191	0.06748963253
192	0.06708425474
193	0.06653187298
194	0.06604937383
195	0.06583046004
196	0.06550590357
197	0.06509921866
198	0.06467219431
199	0.06425217224
