iter	Passed	Remaining
0	192	38344
1	383	37996
2	563	36972
3	753	36898
4	875	34148
5	995	32202
6	1147	31639
7	1277	30651
8	1401	29740
9	1545	29369
10	1693	29104
11	1832	28713
12	1978	28455
13	2116	28113
14	2329	28731
15	2596	29864
16	2806	30206
17	3003	30368
18	3169	30189
19	3308	29775
20	3436	29290
21	3549	28714
22	3668	28231
23	3790	27795
24	3919	27436
25	4042	27052
26	4152	26607
27	4290	26358
28	4434	26149
29	4570	25901
30	4687	25556
31	4807	25240
32	4951	25055
33	5198	25379
34	5423	25569
35	5617	25590
36	5808	25586
37	6002	25589
38	6170	25474
39	6349	25397
40	6503	25222
41	6667	25084
42	6831	24942
43	7007	24845
44	7150	24630
45	7299	24436
46	7431	24193
47	7565	23958
48	7710	23760
49	7870	23610
50	8086	23625
51	8294	23606
52	8486	23539
53	8670	23443
54	8849	23331
55	8977	23085
56	9097	22824
57	9216	22565
58	9341	22323
59	9465	22086
60	9600	21875
61	9726	21649
62	9892	21511
63	10060	21379
64	10209	21204
65	10341	20995
66	10547	20936
67	10734	20837
68	10891	20678
69	11038	20500
70	11184	20320
71	11330	20143
72	11451	19921
73	11587	19730
74	11856	19761
75	12008	19592
76	12143	19398
77	12312	19258
78	12565	19245
79	12711	19067
80	12883	18927
81	13027	18746
82	13176	18574
83	13302	18370
84	13425	18163
85	13539	17947
86	13667	17752
87	13785	17545
88	13908	17346
89	14030	17148
90	14150	16949
91	14266	16748
92	14388	16554
93	14516	16370
94	14637	16178
95	14758	15987
96	14898	15819
97	15028	15641
98	15154	15460
99	15273	15273
100	15395	15090
101	15515	14907
102	15631	14721
103	15817	14600
104	16074	14543
105	16283	14440
106	16461	14307
107	16642	14177
108	16861	14076
109	17010	13917
110	17177	13772
111	17316	13606
112	17466	13447
113	17605	13281
114	17737	13110
115	17917	12974
116	18071	12820
117	18224	12664
118	18359	12496
119	18485	12323
120	18598	12142
121	18733	11977
122	18936	11854
123	19206	11771
124	19406	11643
125	19643	11536
126	19867	11420
127	20066	11287
128	20250	11145
129	20412	10991
130	20565	10832
131	20713	10670
132	20861	10509
133	21015	10350
134	21162	10189
135	21318	10032
136	21471	9873
137	21636	9720
138	21787	9561
139	21943	9404
140	22125	9258
141	22300	9108
142	22454	8950
143	22578	8780
144	22700	8610
145	22819	8440
146	22943	8272
147	23056	8100
148	23178	7933
149	23298	7766
150	23424	7601
151	23552	7437
152	23677	7273
153	23826	7116
154	23980	6962
155	24114	6801
156	24274	6648
157	24430	6494
158	24569	6335
159	24699	6174
160	24852	6020
161	24989	5861
162	25107	5699
163	25239	5540
164	25416	5391
165	25552	5233
166	25670	5072
167	25791	4912
168	25908	4752
169	26059	4598
170	26219	4446
171	26363	4291
172	26507	4137
173	26656	3983
174	26886	3840
175	27059	3689
176	27175	3531
177	27295	3373
178	27463	3221
179	27609	3067
180	27737	2911
181	27896	2759
182	28049	2605
183	28179	2450
184	28315	2295
185	28467	2142
186	28654	1992
187	28858	1842
188	29024	1689
189	29154	1534
190	29295	1380
191	29435	1226
192	29564	1072
193	29686	918
194	29813	764
195	29935	610
196	30236	460
197	30364	306
198	30489	153
199	30648	0
